YEAR,ROUND,UPSET5,SEED_F,KENPOM ADJUSTED EFFICIENCY_F,KENPOM ADJUSTED OFFENSE_F,KENPOM ADJUSTED DEFENSE_F,KENPOM ADJUSTED TEMPO_F,BARTTORVIK ADJUSTED EFFICIENCY_F,BARTTORVIK ADJUSTED OFFENSE_F,BARTTORVIK ADJUSTED DEFENSE_F,BARTHAG_F,ELITE SOS_F,BARTTORVIK ADJUSTED TEMPO_F,2PT %_F,3PT %_F,FREE THROW %_F,EFG %_F,FREE THROW RATE_F,3PT RATE_F,ASSIST %_F,OFFENSIVE REBOUND %_F,DEFENSIVE REBOUND %_F,BLOCK %_F,TURNOVER %_F,2PT % DEFENSE_F,3PT % DEFENSE_F,FREE THROW % DEFENSE_F,EFG % DEFENSE_F,FREE THROW RATE DEFENSE_F,3PT RATE DEFENSE_F,OP ASSIST %_F,OP O REB %_F,OP D REB %_F,BLOCKED %_F,TURNOVER % DEFENSE_F,WINS ABOVE BUBBLE_F,WIN %_F,POINTS PER POSSESSION OFFENSE_F,POINTS PER POSSESSION DEFENSE_F,SEED_U,KENPOM ADJUSTED EFFICIENCY_U,KENPOM ADJUSTED OFFENSE_U,KENPOM ADJUSTED DEFENSE_U,KENPOM ADJUSTED TEMPO_U,BARTTORVIK ADJUSTED EFFICIENCY_U,BARTTORVIK ADJUSTED OFFENSE_U,BARTTORVIK ADJUSTED DEFENSE_U,BARTHAG_U,ELITE SOS_U,BARTTORVIK ADJUSTED TEMPO_U,2PT %_U,3PT %_U,FREE THROW %_U,EFG %_U,FREE THROW RATE_U,3PT RATE_U,ASSIST %_U,OFFENSIVE REBOUND %_U,DEFENSIVE REBOUND %_U,BLOCK %_U,TURNOVER %_U,2PT % DEFENSE_U,3PT % DEFENSE_U,FREE THROW % DEFENSE_U,EFG % DEFENSE_U,FREE THROW RATE DEFENSE_U,3PT RATE DEFENSE_U,OP ASSIST %_U,OP O REB %_U,OP D REB %_U,BLOCKED %_U,TURNOVER % DEFENSE_U,WINS ABOVE BUBBLE_U,WIN %_U,POINTS PER POSSESSION OFFENSE_U,POINTS PER POSSESSION DEFENSE_U
2021.0,5.0,0.0,1.0,36.6,126.1,89.5,74.8,35.7,125.3,89.6,0.979,24.21,75.4,64.0,36.5,72.6,61.0,36.7,32.3,53.6,30.4,76.6,7.1,16.1,46.8,32.5,70.3,47.5,25.9,34.5,44.8,23.4,69.6,6.9,20.3,8.5,100.0,1.224,0.918,11.0,15.9,113.4,97.5,64.7,18.1,114.3,96.2,0.879,34.43,65.5,50.6,36.7,72.1,52.0,32.6,31.7,51.6,30.8,75.8,7.8,16.7,49.4,35.1,73.6,50.7,28.0,39.0,49.4,24.2,69.2,7.1,17.6,2.6,65.38,1.083,1.019
2021.0,4.0,0.0,2.0,28.8,118.9,90.1,64.9,29.6,119.0,89.4,0.964,18.87,65.9,49.9,35.5,74.3,51.3,30.7,42.3,51.4,39.4,72.0,14.5,16.3,43.0,28.5,65.2,42.9,42.4,37.6,51.6,28.0,60.6,7.3,21.6,4.0,88.46,1.157,0.884,12.0,10.2,109.3,99.2,65.4,10.7,109.1,98.4,0.766,34.27,66.1,46.9,34.6,76.0,48.7,34.0,35.5,59.4,29.8,70.6,9.5,17.2,52.5,31.4,73.2,50.4,38.2,37.7,52.2,29.4,70.2,7.8,18.5,0.4,57.14,1.043,1.045
2021.0,4.0,1.0,1.0,30.8,119.4,88.6,66.8,26.9,117.7,90.8,0.952,35.15,67.8,53.3,38.7,77.8,54.9,28.9,33.9,55.5,29.4,75.2,10.6,16.3,42.3,33.5,74.9,44.9,24.5,32.7,42.5,24.8,70.6,7.0,15.1,7.1,83.33,1.122,0.962,11.0,15.9,113.4,97.5,64.7,18.1,114.3,96.2,0.879,34.43,65.5,50.6,36.7,72.1,52.0,32.6,31.7,51.6,30.8,75.8,7.8,16.7,49.4,35.1,73.6,50.7,28.0,39.0,49.4,24.2,69.2,7.1,17.6,2.6,65.38,1.083,1.019
2021.0,3.0,0.0,2.0,28.8,118.9,90.1,64.9,29.6,119.0,89.4,0.964,18.87,65.9,49.9,35.5,74.3,51.3,30.7,42.3,51.4,39.4,72.0,14.5,16.3,43.0,28.5,65.2,42.9,42.4,37.6,51.6,28.0,60.6,7.3,21.6,4.0,88.46,1.157,0.884,11.0,16.2,113.8,97.6,69.2,14.9,112.2,97.3,0.837,28.52,70.1,50.8,33.8,78.4,50.7,28.4,39.2,56.5,30.3,66.2,14.4,16.0,49.2,31.7,74.9,48.5,25.1,43.9,68.6,33.8,69.7,8.9,20.8,0.5,64.0,1.082,1.009
2021.0,3.0,0.0,3.0,21.5,111.5,90.0,73.1,18.8,110.1,91.3,0.896,28.4,74.0,51.9,33.9,73.7,51.5,32.7,35.8,50.7,31.7,73.8,13.4,17.4,46.9,32.6,68.6,47.6,29.3,37.6,46.5,26.2,68.3,8.8,20.3,4.6,78.57,1.09,0.935,15.0,1.2,108.7,107.4,71.8,0.8,107.5,106.7,0.522,16.65,72.3,49.7,38.8,82.6,53.6,27.8,45.9,42.6,23.2,67.0,9.6,15.7,49.0,35.6,70.2,50.4,33.1,32.0,44.3,33.0,76.8,9.4,18.2,-4.9,56.52,1.091,1.066
2021.0,3.0,1.0,2.0,25.0,111.7,86.7,73.9,22.1,110.7,88.6,0.928,32.0,74.8,50.1,35.1,72.0,51.3,28.6,47.1,50.8,31.5,70.2,10.5,18.6,46.4,28.8,68.6,45.3,31.9,33.6,43.8,29.8,68.5,14.1,21.1,6.9,80.0,1.059,0.929,11.0,15.9,113.4,97.5,64.7,18.1,114.3,96.2,0.879,34.43,65.5,50.6,36.7,72.1,52.0,32.6,31.7,51.6,30.8,75.8,7.8,16.7,49.4,35.1,73.6,50.7,28.0,39.0,49.4,24.2,69.2,7.1,17.6,2.6,65.38,1.083,1.019
2021.0,2.0,0.0,2.0,28.8,118.9,90.1,64.9,29.6,119.0,89.4,0.964,18.87,65.9,49.9,35.5,74.3,51.3,30.7,42.3,51.4,39.4,72.0,14.5,16.3,43.0,28.5,65.2,42.9,42.4,37.6,51.6,28.0,60.6,7.3,21.6,4.0,88.46,1.157,0.884,10.0,18.1,108.7,90.5,67.8,14.7,106.6,91.9,0.846,38.22,68.7,51.9,31.1,63.2,50.2,27.7,32.7,51.6,27.4,70.7,14.1,16.4,47.4,32.1,70.4,47.7,33.2,35.6,56.1,29.3,72.6,8.2,18.9,1.7,57.69,1.016,0.991
2021.0,2.0,1.0,3.0,20.3,116.1,95.8,69.6,20.1,115.0,94.9,0.901,34.11,70.5,46.4,35.7,71.7,48.7,39.4,33.1,52.3,35.6,68.7,7.6,17.0,51.3,32.3,69.4,50.2,28.5,37.3,52.0,31.3,64.4,6.4,20.7,3.0,66.67,1.079,1.006,11.0,16.2,113.8,97.6,69.2,14.9,112.2,97.3,0.837,28.52,70.1,50.8,33.8,78.4,50.7,28.4,39.2,56.5,30.3,66.2,14.4,16.0,49.2,31.7,74.9,48.5,25.1,43.9,68.6,33.8,69.7,8.9,20.8,0.5,64.0,1.082,1.009
2021.0,2.0,1.0,4.0,18.8,110.1,91.3,72.0,16.8,109.0,92.2,0.873,36.26,72.7,52.8,33.8,71.3,52.1,36.4,31.9,47.7,31.9,69.8,11.1,21.4,46.9,31.7,70.8,47.2,30.5,37.4,48.3,30.2,68.1,10.3,19.3,4.8,71.43,1.036,0.981,12.0,10.2,109.3,99.2,65.4,10.7,109.1,98.4,0.766,34.27,66.1,46.9,34.6,76.0,48.7,34.0,35.5,59.4,29.8,70.6,9.5,17.2,52.5,31.4,73.2,50.4,38.2,37.7,52.2,29.4,70.2,7.8,18.5,0.4,57.14,1.043,1.045
2021.0,2.0,1.0,7.0,17.6,111.0,93.4,68.6,17.0,110.4,93.4,0.873,34.11,69.5,51.9,35.7,75.7,52.5,33.8,33.8,45.0,30.8,68.4,14.3,20.7,48.4,30.6,70.3,47.5,34.8,35.3,51.6,31.6,69.2,9.4,20.6,1.2,60.87,1.046,0.988,15.0,1.2,108.7,107.4,71.8,0.8,107.5,106.7,0.522,16.65,72.3,49.7,38.8,82.6,53.6,27.8,45.9,42.6,23.2,67.0,9.6,15.7,49.0,35.6,70.2,50.4,33.1,32.0,44.3,33.0,76.8,9.4,18.2,-4.9,56.52,1.091,1.066
2021.0,2.0,0.0,5.0,22.6,118.6,96.0,65.1,21.4,118.5,97.1,0.908,30.56,65.9,52.8,35.2,76.5,52.8,30.0,44.6,57.8,27.9,75.2,4.4,13.5,51.0,35.4,68.2,51.8,25.8,40.6,48.7,24.8,72.1,8.9,19.0,3.1,72.73,1.134,1.008,13.0,11.7,105.4,93.7,63.1,9.7,103.7,94.0,0.756,19.44,64.2,52.9,37.3,73.5,54.0,27.2,37.2,51.8,27.9,73.1,8.6,20.4,44.8,31.6,72.6,45.7,31.7,34.2,43.0,26.9,72.1,8.9,21.4,-2.4,64.0,1.043,0.926
2021.0,2.0,0.0,1.0,29.5,123.3,93.8,68.4,29.8,123.3,93.5,0.96,27.78,69.6,54.1,41.8,69.7,57.5,27.0,39.2,54.8,37.5,69.1,10.3,17.6,48.1,34.0,68.6,49.1,31.7,34.3,51.7,30.9,62.5,10.0,24.6,6.7,91.67,1.196,0.941,9.0,22.7,112.5,89.9,64.9,21.2,111.5,90.3,0.919,38.06,65.9,46.3,36.0,76.7,49.4,26.9,40.8,54.3,23.7,74.9,10.4,13.5,47.1,33.0,71.2,47.9,28.5,34.2,53.0,25.1,76.3,11.0,17.8,2.1,58.62,1.05,0.97
2021.0,2.0,0.0,2.0,25.0,111.7,86.7,73.9,22.1,110.7,88.6,0.928,32.0,74.8,50.1,35.1,72.0,51.3,28.6,47.1,50.8,31.5,70.2,10.5,18.6,46.4,28.8,68.6,45.3,31.9,33.6,43.8,29.8,68.5,14.1,21.1,6.9,80.0,1.059,0.929,10.0,18.7,110.9,92.2,65.3,15.9,110.1,94.2,0.857,36.38,66.3,52.8,34.9,70.3,52.6,32.6,43.0,53.7,20.9,75.2,10.3,16.8,46.4,34.3,71.7,48.5,25.6,41.8,52.3,24.8,79.1,8.8,16.9,0.1,53.57,1.031,0.994
2021.0,2.0,0.0,1.0,30.8,119.4,88.6,66.8,26.9,117.7,90.8,0.952,35.15,67.8,53.3,38.7,77.8,54.9,28.9,33.9,55.5,29.4,75.2,10.6,16.3,42.3,33.5,74.9,44.9,24.5,32.7,42.5,24.8,70.6,7.0,15.1,7.1,83.33,1.122,0.962,8.0,19.6,119.8,100.2,70.8,19.1,118.9,99.8,0.882,31.95,71.4,53.0,35.0,74.7,52.8,33.9,37.1,42.3,31.5,67.2,7.8,16.1,51.3,30.0,70.6,48.5,29.1,44.3,50.7,32.8,68.5,9.1,18.4,2.3,66.67,1.123,1.03
2021.0,2.0,1.0,2.0,28.9,123.5,94.6,70.0,27.2,123.7,96.5,0.946,36.86,70.9,52.4,38.6,71.3,54.6,32.0,39.8,63.8,30.7,71.4,11.6,13.3,45.8,34.8,67.5,48.3,22.6,39.6,59.8,28.6,69.3,7.9,16.3,5.5,72.41,1.176,1.01,7.0,17.7,114.5,96.8,67.2,18.0,114.1,96.1,0.878,31.14,68.1,52.9,37.9,70.4,54.4,26.8,38.0,48.4,28.3,72.8,10.7,16.8,49.9,33.6,76.3,50.1,27.1,39.2,54.2,27.2,71.7,7.5,20.3,4.8,76.92,1.096,0.994
2021.0,2.0,0.0,5.0,21.3,114.9,93.6,69.1,20.1,114.2,94.1,0.903,30.12,70.0,56.3,36.7,64.2,55.7,26.9,44.3,55.8,24.8,71.8,9.5,15.8,46.1,32.1,70.6,46.9,25.7,39.0,51.3,28.2,75.2,8.7,17.8,3.2,71.43,1.098,0.974,13.0,11.1,113.0,101.9,69.3,10.8,111.8,101.0,0.763,16.47,70.3,56.4,36.6,70.6,55.8,29.6,38.7,59.7,28.7,72.6,5.7,17.0,51.6,33.7,76.6,51.1,30.2,40.0,52.7,27.4,71.3,6.5,20.0,-2.0,68.18,1.121,1.022
2021.0,2.0,0.0,1.0,36.6,126.1,89.5,74.8,35.7,125.3,89.6,0.979,24.21,75.4,64.0,36.5,72.6,61.0,36.7,32.3,53.6,30.4,76.6,7.1,16.1,46.8,32.5,70.3,47.5,25.9,34.5,44.8,23.4,69.6,6.9,20.3,8.5,100.0,1.224,0.918,8.0,16.6,111.4,94.8,67.7,16.4,111.1,94.7,0.863,32.0,68.5,50.8,33.8,74.4,50.8,29.1,39.0,50.0,27.3,72.5,9.2,15.8,46.3,35.4,73.5,48.9,22.8,38.1,46.9,27.5,72.7,8.3,18.7,0.3,60.0,1.065,0.986
2021.0,1.0,0.0,2.0,28.8,118.9,90.1,64.9,29.6,119.0,89.4,0.964,18.87,65.9,49.9,35.5,74.3,51.3,30.7,42.3,51.4,39.4,72.0,14.5,16.3,43.0,28.5,65.2,42.9,42.4,37.6,51.6,28.0,60.6,7.3,21.6,4.0,88.46,1.157,0.884,15.0,1.4,100.9,99.5,66.3,-0.4,99.2,99.6,0.488,12.15,67.1,52.1,31.9,66.9,50.6,31.9,34.3,52.9,30.9,68.1,7.6,18.5,50.9,30.8,72.9,48.9,37.2,42.5,52.7,31.9,69.1,7.1,20.3,-2.7,73.08,1.033,1.02
2021.0,1.0,0.0,3.0,20.3,116.1,95.8,69.6,20.1,115.0,94.9,0.901,34.11,70.5,46.4,35.7,71.7,48.7,39.4,33.1,52.3,35.6,68.7,7.6,17.0,51.3,32.3,69.4,50.2,28.5,37.3,52.0,31.3,64.4,6.4,20.7,3.0,66.67,1.079,1.006,14.0,3.9,100.2,96.3,65.6,2.0,98.1,96.1,0.559,13.19,66.5,51.8,34.7,68.3,51.9,36.8,34.5,51.3,31.3,75.1,14.3,22.9,47.6,30.7,67.9,47.0,23.1,41.4,49.8,24.9,68.7,9.1,18.0,-1.9,75.0,1.005,0.945
2021.0,1.0,1.0,6.0,21.3,110.8,89.5,66.1,22.1,111.3,89.2,0.927,18.83,66.9,50.5,37.5,71.9,52.7,34.3,39.5,53.7,29.9,75.6,10.0,16.9,44.6,32.8,73.2,46.7,32.7,45.5,60.2,24.4,70.1,8.2,22.5,3.1,84.62,1.097,0.912,11.0,16.2,113.8,97.6,69.2,14.9,112.2,97.3,0.837,28.52,70.1,50.8,33.8,78.4,50.7,28.4,39.2,56.5,30.3,66.2,14.4,16.0,49.2,31.7,74.9,48.5,25.1,43.9,68.6,33.8,69.7,8.9,20.8,0.5,64.0,1.082,1.009
2021.0,1.0,0.0,4.0,18.8,110.1,91.3,72.0,16.8,109.0,92.2,0.873,36.26,72.7,52.8,33.8,71.3,52.1,36.4,31.9,47.7,31.9,69.8,11.1,21.4,46.9,31.7,70.8,47.2,30.5,37.4,48.3,30.2,68.1,10.3,19.3,4.8,71.43,1.036,0.981,13.0,8.4,110.1,101.8,63.1,8.3,109.1,100.8,0.713,9.8,64.4,56.8,38.8,77.8,57.4,25.5,47.5,57.4,23.1,77.6,7.0,15.6,47.8,32.2,69.7,48.0,29.6,36.1,42.2,22.4,76.9,7.3,17.3,-1.7,79.17,1.137,0.966
2021.0,1.0,1.0,5.0,21.1,108.8,87.7,67.3,20.3,108.5,88.2,0.916,29.66,67.8,49.8,33.8,74.6,50.1,35.1,34.3,59.2,31.4,71.4,14.4,18.2,44.8,31.8,73.1,45.9,31.1,38.1,45.1,28.6,68.6,6.8,22.9,2.3,69.23,1.054,0.919,12.0,10.2,109.3,99.2,65.4,10.7,109.1,98.4,0.766,34.27,66.1,46.9,34.6,76.0,48.7,34.0,35.5,59.4,29.8,70.6,9.5,17.2,52.5,31.4,73.2,50.4,38.2,37.7,52.2,29.4,70.2,7.8,18.5,0.4,57.14,1.043,1.045
2021.0,1.0,0.0,1.0,30.6,119.0,88.3,70.7,26.6,117.4,90.8,0.951,40.29,71.6,55.3,37.6,69.1,55.6,39.2,30.7,55.5,33.0,77.8,7.0,18.2,45.4,32.7,68.5,46.6,30.5,33.0,44.3,22.2,67.0,9.5,16.1,8.8,79.31,1.124,0.956,16.0,1.6,107.1,105.5,64.2,2.4,106.1,103.7,0.565,8.88,65.3,53.5,37.2,77.7,54.3,28.5,35.7,58.2,29.4,75.7,6.5,19.6,50.4,32.1,75.1,49.6,27.2,34.4,41.7,24.3,70.6,9.0,16.4,-4.5,63.16,1.084,1.014
2021.0,1.0,1.0,2.0,25.4,122.3,96.8,67.1,24.3,121.4,97.1,0.929,39.47,67.8,52.1,36.5,76.3,53.1,37.6,39.4,49.5,29.1,72.6,9.5,15.3,47.4,34.1,70.6,48.9,33.8,38.0,55.0,27.4,70.9,7.8,15.0,6.0,70.0,1.136,1.042,15.0,1.2,108.7,107.4,71.8,0.8,107.5,106.7,0.522,16.65,72.3,49.7,38.8,82.6,53.6,27.8,45.9,42.6,23.2,67.0,9.6,15.7,49.0,35.6,70.2,50.4,33.1,32.0,44.3,33.0,76.8,9.4,18.2,-4.9,56.52,1.091,1.066
2021.0,1.0,0.0,3.0,21.5,111.5,90.0,73.1,18.8,110.1,91.3,0.896,28.4,74.0,51.9,33.9,73.7,51.5,32.7,35.8,50.7,31.7,73.8,13.4,17.4,46.9,32.6,68.6,47.6,29.3,37.6,46.5,26.2,68.3,8.8,20.3,4.6,78.57,1.09,0.935,14.0,10.2,110.9,100.7,72.4,14.5,112.5,98.0,0.83,5.71,72.8,55.4,40.0,73.1,57.0,31.0,35.9,56.1,28.2,74.6,8.7,13.7,49.4,26.1,67.6,45.6,25.0,37.0,42.5,25.4,71.8,7.1,16.6,0.4,93.33,1.187,0.943
